lmdn	lmdp
-5.791375	-4.59067
-5.872994	-4.468875
-5.766341	-4.513732
-5.745723	-4.513206
-5.771661	-4.481365
-5.858126	-4.549469
-5.883796	-4.363607
-5.746125	-4.600494
-5.82683	-4.5219
-5.931957	-4.305096
-5.861732	-4.394723
-5.865866	-4.433556
-5.874	-4.384996
-5.748937	-4.533382
-5.942885	-4.431669
-5.838308	-4.457737
-5.78428	-4.447932
-5.79111	-4.5631
-5.869015	-4.418175
-5.784363	-4.442424
-5.743677	-4.56234
-5.804376	-4.460853
-5.925538	-4.499577
-5.719752	-4.596352
-5.862704	-4.484446
-5.825667	-4.485773
-5.824722	-4.430677
-5.781362	-4.507586
-5.735246	-4.546271
-5.670182	-4.514688
-5.761337	-4.546682
-5.787828	-4.49119
-5.755484	-4.425996
-5.769779	-4.419786
-5.667199	-4.469966
-5.617461	-4.542398
-5.676006	-4.516657
-5.768314	-4.421409
-5.737803	-4.47819
-5.79041	-4.487166
-5.754242	-4.440696
-5.690048	-4.495845
-5.840167	-4.500764
-5.879966	-4.486403
-5.7999	-4.42431
-5.791918	-4.52152
-5.877937	-4.387142
-5.905859	-4.342392
-5.864938	-4.454365
-5.839863	-4.468203
-5.928632	-4.459486
-5.859362	-4.471633
-5.885058	-4.491242
-5.838755	-4.56752
-5.84582	-4.347897
-5.640347	-4.577422
-5.603286	-4.6429
-5.544464	-4.637157
-5.568778	-4.623607
-5.61666	-4.620278
-5.684764	-4.488923
-5.674991	-4.51419
-5.611144	-4.587104
-5.729906	-4.603808
-5.788681	-4.479652
-5.73365	-4.456924
-5.690083	-4.475985
-5.864269	-4.383139
-5.86229	-4.315057
-5.730906	-4.46535
-5.864035	-4.477628
-5.752811	-4.420751
-5.782678	-4.416454
-5.66898	-4.485602
-5.607329	-4.629291
-5.692681	-4.610046
-5.59212	-4.647377
-5.749437	-4.451277
-5.704866	-4.528788
-5.802642	-4.46013
-5.716296	-4.573152
-5.674477	-4.534038
-5.655155	-4.501239
-5.668933	-4.513183
-5.609007	-4.596633
-5.63251	-4.582551
-5.690241	-4.581747
-5.65817	-4.618408
-5.751315	-4.504437
-5.836226	-4.44701
-5.604812	-4.610672
-5.72812	-4.500949
-5.657458	-4.551937
-5.713609	-4.642432
-5.623863	-4.643889
-5.546865	-4.67951
-5.657886	-4.635112
-5.625831	-4.669921
-5.67865	-4.614764
-5.705924	-4.592884
-5.612033	-4.607254
-5.598284	-4.645744
-5.647847	-4.538709
-5.596304	-4.618386
-5.722608	-4.515461
-5.633969	-4.616188
-5.680353	-4.609402
-5.678423	-4.632604
-5.89538	-4.422337
-5.881195	-4.482468
-5.851618	-4.428984
-5.79837	-4.423519
-5.871478	-4.358711
-5.790105	-4.372123
-5.5931	-4.583672
-5.583851	-4.619555
-5.698529	-4.548857
-5.823845	-4.474
-5.634575	-4.619488
-5.663827	-4.507419
-5.687218	-4.551091
-5.771468	-4.427365
-5.672765	-4.50151
-5.687448	-4.556932
-5.664163	-4.597239
-5.688134	-4.543569
-5.733645	-4.442568
-5.758071	-4.494351
-5.623655	-4.625282
-5.778787	-4.46045
-5.782218	-4.375322
-5.80782	-4.384286
-5.720788	-4.525984
-5.744903	-4.488455
-5.719993	-4.511567
-5.779513	-4.390481
-5.731746	-4.484333
-5.783899	-4.465757
-5.723609	-4.548456
-5.712313	-4.550355
-5.701083	-4.494009
