isConverged	Q1	Q20	Q30	Q40	q5	q6	q7	q8	EHFB
True	3e-06	32.817688	2e-06	1.252033	0.0	0.304056	0.0	0.112063	-1888.872136
True	2e-06	33.818483	5e-06	1.313631	0.0	0.375339	1e-06	0.136564	-1889.264729
True	2e-06	33.460236	1e-06	1.260771	0.0	0.40924	1e-06	0.152322	-1889.235452
True	0.0	33.715656	2e-06	1.275268	0.0	0.424596	0.0	0.154828	-1889.625838
True	1e-06	33.01136	4e-06	1.249574	0.0	0.346588	0.0	0.1371	-1887.961912
True	2e-06	33.719322	6e-06	1.305974	1e-06	0.373568	0.0	0.137413	-1888.641256
True	1e-06	33.656608	6e-06	1.306786	0.0	0.364896	1e-06	0.137177	-1889.266285
True	0.0	33.284662	6e-06	1.311744	1e-06	0.312408	0.0	0.130046	-1889.613931
True	5e-06	32.507364	6e-06	1.269451	1e-06	0.243551	1e-06	0.106013	-1888.861229
True	1e-06	33.367332	3e-06	1.304996	0.0	0.333964	0.0	0.133865	-1888.764251
True	3e-06	32.697471	3e-06	1.274443	0.0	0.267526	1e-06	0.110875	-1888.55498
True	3e-06	34.106314	7e-06	1.306075	0.0	0.428263	1e-06	0.153258	-1888.124197
True	2e-06	33.707074	5e-06	1.26156	0.0	0.434393	0.0	0.14969	-1889.10351
True	1e-06	32.622669	1e-06	1.212167	0.0	0.343992	0.0	0.127091	-1887.991383
True	1e-06	33.77142	1e-06	1.28147	0.0	0.424878	0.0	0.153242	-1889.59879
True	3e-06	33.217356	2e-06	1.245106	0.0	0.378822	1e-06	0.136937	-1888.990667
True	3e-06	33.468867	1e-06	1.253158	0.0	0.414761	0.0	0.142606	-1888.800761
True	0.0	34.052782	1e-06	1.29779	0.0	0.437626	0.0	0.152152	-1888.128731
True	1e-06	33.404204	1e-06	1.253301	0.0	0.399485	0.0	0.14248	-1887.444449
True	3e-06	33.922272	3e-06	1.303497	0.0	0.407591	0.0	0.148404	-1888.264481
True	0.0	34.22042	1e-06	1.298929	0.0	0.464609	0.0	0.161083	-1888.547158
True	1e-06	33.827189	1e-06	1.274543	0.0	0.430955	0.0	0.139704	-1888.790742
True	2e-06	33.938135	1e-06	1.273089	0.0	0.452493	0.0	0.14799	-1888.450516
True	1e-06	33.643704	3e-06	1.282669	0.0	0.377577	0.0	0.129286	-1888.495926
True	2e-06	34.130156	7e-06	1.299821	0.0	0.433594	1e-06	0.146186	-1888.469937
True	0.0	33.219026	1e-06	1.27223	0.0	0.344409	0.0	0.125282	-1887.831747
True	3e-06	33.060298	4e-06	1.278338	0.0	0.315509	0.0	0.120464	-1887.71416
True	2e-06	33.701656	4e-06	1.299733	0.0	0.379502	0.0	0.136097	-1888.946679
True	2e-06	33.833569	4e-06	1.31408	0.0	0.368268	0.0	0.128946	-1888.174797
True	1e-06	32.500045	1e-06	1.224908	0.0	0.293372	0.0	0.11259	-1887.275122
True	0.0	33.851584	2e-06	1.294023	0.0	0.407615	0.0	0.144768	-1889.204017
True	1e-06	33.887663	4e-06	1.311259	0.0	0.371484	0.0	0.126154	-1888.807299
True	2e-06	33.938538	3e-06	1.337831	0.0	0.358653	0.0	0.130866	-1889.21867
True	0.0	33.954047	1.3e-05	1.342091	1e-06	0.358442	1e-06	0.136921	-1887.866817
True	2e-06	33.518672	3e-06	1.277592	0.0	0.376459	1e-06	0.133137	-1888.501138
True	0.0	34.127487	0.0	1.292585	0.0	0.454916	0.0	0.166783	-1889.008273
True	1e-06	33.194525	1e-06	1.242672	0.0	0.386838	0.0	0.146696	-1888.479228
