 rho0                  EoA                   K                     a                     L                     Ms_inv                Crdr0                 Crdr1                 Vn                    Vp                    CrdJ0                 CrdJ1                
 [1/fm^3]              [MeV]                 [MeV]                 [MeV]                 [MeV]                 []                    []                    []                    []                    []                    []                    []                   
 1.60108410000000e-01 -1.57392150000000e+01  2.03898620000000e+02  2.80483030000000e+01  3.16138700000000e+01  8.65260870000000e-01 -4.01119540000000e+01 -1.50896510000000e+02 -1.65671910000000e+02 -1.93881100000000e+02 -6.98131750000000e+01 -6.07436820000000e+01 
 1.60545870000000e-01 -1.57751210000000e+01  2.09347990000000e+02  2.78753780000000e+01  2.88626730000000e+01  8.74292320000000e-01 -3.97902410000000e+01 -1.56948620000000e+02 -1.68634900000000e+02 -1.98267130000000e+02 -6.89269280000000e+01 -3.51916630000000e+01 
 1.60353100000000e-01 -1.57627090000000e+01  2.03963890000000e+02  2.83094700000000e+01  2.75427560000000e+01  8.50656260000000e-01 -4.02318890000000e+01 -1.39274280000000e+02 -1.69122130000000e+02 -1.86956040000000e+02 -7.13833420000000e+01 -5.72107930000000e+01 
 1.61062180000000e-01 -1.57812000000000e+01  2.05295120000000e+02  2.84235550000000e+01  3.48289050000000e+01  8.57820170000000e-01 -4.05530480000000e+01 -1.66832620000000e+02 -1.67265810000000e+02 -1.93060450000000e+02 -7.12242800000000e+01 -7.11446990000000e+01 
 1.60737950000000e-01 -1.57714900000000e+01  2.04397190000000e+02  2.81184840000000e+01  2.26052120000000e+01  8.70570250000000e-01 -4.13999600000000e+01 -1.01573000000000e+02 -1.68169300000000e+02 -1.92887290000000e+02 -7.24274470000000e+01 -3.32064670000000e+01 
 1.59919800000000e-01 -1.57706600000000e+01  2.10257080000000e+02  2.87966460000000e+01  3.20662530000000e+01  8.93476980000000e-01 -4.11212740000000e+01 -9.97057270000000e+01 -1.69296330000000e+02 -2.01106950000000e+02 -7.00103710000000e+01 -3.90659920000000e+01 
 1.59930740000000e-01 -1.57875960000000e+01  2.13776140000000e+02  2.78658280000000e+01  1.53701590000000e+01  9.29920730000000e-01 -4.21804600000000e+01 -1.07066500000000e+02 -1.77794500000000e+02 -1.96318730000000e+02 -7.12835610000000e+01 -6.92449910000000e+01 
 1.60251700000000e-01 -1.57769200000000e+01  2.10712360000000e+02  2.84170470000000e+01  2.51776800000000e+01  8.96535300000000e-01 -4.15295780000000e+01 -8.83661410000000e+01 -1.72422200000000e+02 -1.95412180000000e+02 -7.19044590000000e+01 -3.58115570000000e+01 
 1.60356390000000e-01 -1.58029210000000e+01  2.13365040000000e+02  2.88420630000000e+01  3.02578270000000e+01  8.78397220000000e-01 -4.08499400000000e+01 -8.52397180000000e+01 -1.70382260000000e+02 -1.92248970000000e+02 -7.10914160000000e+01  2.00716300000000e+00 
 1.59637610000000e-01 -1.57829540000000e+01  2.12491940000000e+02  2.84300610000000e+01  2.65977220000000e+01  8.35271510000000e-01 -3.90103700000000e+01 -1.04562110000000e+02 -1.62853990000000e+02 -1.90833360000000e+02 -6.86491360000000e+01 -4.15020950000000e+01 
 1.59285700000000e-01 -1.57594990000000e+01  2.18522620000000e+02  2.77124700000000e+01  2.79206560000000e+01  8.63076770000000e-01 -3.84696220000000e+01 -1.26812540000000e+02 -1.66286300000000e+02 -1.96311730000000e+02 -6.93057520000000e+01 -4.64699740000000e+00 
 1.58438160000000e-01 -1.57585780000000e+01  2.21162940000000e+02  2.74180750000000e+01  1.77464960000000e+01  8.69333530000000e-01 -3.86629290000000e+01 -1.19679090000000e+02 -1.69182000000000e+02 -1.94508110000000e+02 -6.96159620000000e+01 -4.62837790000000e+01 
 1.58003040000000e-01 -1.57381000000000e+01  2.20305080000000e+02  2.76347600000000e+01  1.87544520000000e+01  8.72719780000000e-01 -3.86235590000000e+01 -1.03930840000000e+02 -1.66492100000000e+02 -1.93329680000000e+02 -7.02226690000000e+01 -3.66049850000000e+01 
